Date,Time,Pres,Temp,Cond,Sal,O2%,O2ppm,pH,PAR,Chl(a)Phy-EthrinPhy-Cyanin,datetime,Depth,pot_temp,density,N2,mld_temp,mld_dens
08-07-2024,13:39:011.15,0.21,2.599,17.048,17.983,92.9,11.19,7.914,585.60773,4.35,2024-07-08 13:39:01.115,0.20826865256181049,2.598994825114977,14.27764558862441,0.003729869543314459,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:39:032.29,0.21,2.587,16.857,17.77,91.6,11.05,8.166,629.51282,3.09,2024-07-08 13:39:03.229,0.20826865256181049,2.586994939313984,14.10899674960342,0.0021113103905814343,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:39:035.97,0.21,2.575,16.845,17.763,91.2,11.01,8.18,626.19543,3.49,2024-07-08 13:39:03.597,0.20826865256181049,2.5749949658388482,14.103852017482723,-0.0033339333746555204,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:40:021.71,0.21,2.608,16.499,17.35,89.8,10.85,8.263,603.12189,3.54,2024-07-08 13:40:02.171,0.20826865256181049,2.607995077244926,13.774919544454974,-0.004183933786665527,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:40:027.85,0.22,2.597,16.777,17.673,90.3,10.9,8.265,584.81946,3.35,2024-07-08 13:40:02.785,0.21818620214740453,2.596994721065148,14.031660427560041,-0.0036181685277596226,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:40:032.77,0.21,2.597,17.015,17.946,90.7,10.93,8.262,608.16388,3.62,2024-07-08 13:40:03.277,0.20826865256181049,2.5969948447715123,14.248348116143461,0.005578433872434598,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:40:035.22,0.22,2.603,16.948,17.866,91.0,10.96,8.265,549.64001,2.95,2024-07-08 13:40:03.522,0.21818620214740453,2.6029946226151623,14.184640659474212,0.007997857970023045,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:40:035.97,0.23,2.605,16.749,17.637,91.0,10.98,8.267,577.89606,2.8,2024-07-08 13:40:03.597,0.2281037512513359,2.604994480703095,14.002812817107156,0.010544080668194789,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:40:054.90,0.22,2.625,16.57,17.422,90.5,10.93,8.277,639.86823,2.77,2024-07-08 13:40:05.490,0.21818620214740453,2.6249947755988687,13.831492645609842,0.001571991548237946,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:40:057.60,0.22,2.644,16.412,17.23,90.7,10.97,8.28,635.90851,2.98,2024-07-08 13:40:05.760,0.21818620214740453,2.6439948223067584,13.678479525026432,0.0011739933958298814,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:40:058.34,0.23,2.636,16.417,17.241,90.7,10.97,8.279,667.7876,3.14,2024-07-08 13:40:05.834,0.2281037512513359,2.6359945990266653,13.68747660350573,-0.002703162863738713,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:40:059.32,0.23,2.629,16.476,17.311,90.8,10.97,8.278,689.5614,3.11,2024-07-08 13:40:05.932,0.2281037512513359,2.6289945813733153,13.74326427704375,-0.0007662253860570276,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:41:000.55,0.22,2.632,16.497,17.334,90.8,10.96,8.277,650.96167,3.16,2024-07-08 13:41:00.055,0.21818620214740453,2.631994800522818,13.761416926815286,-0.001536155984261086,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:41:002.03,0.21,2.62,16.527,17.375,90.9,10.98,8.277,660.47559,2.81,2024-07-08 13:41:00.203,0.20826865256181049,2.6199950429752263,13.79435964316417,0.0004130741017995678,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:41:002.27,0.23,2.618,16.528,17.376,90.8,10.98,8.277,682.21979,3.3,2024-07-08 13:41:00.227,0.2281037512513359,2.617994574671965,13.795220494482578,-0.0012801784818295904,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:41:002.76,0.24,2.616,16.535,17.387,90.8,10.97,8.277,727.20477,4.6,2024-07-08 13:41:00.276,0.23802129987360474,2.615994337892254,13.804018014846179,inf,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:41:003.01,0.24,2.616,16.539,17.391,90.8,10.97,8.277,652.71436,3.42,2024-07-08 13:41:00.301,0.23802129987360474,2.615994335940946,13.807192698765789,8.104671303651678e-05,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:41:003.50,0.24,2.614,16.538,17.39,90.8,10.97,8.277,656.70972,3.75,2024-07-08 13:41:00.350,0.23802129987360474,2.613994340922178,13.806466200561431,0.006855030524765858,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:41:003.74,0.25,2.614,16.545,17.399,90.8,10.96,8.277,666.76465,2.46,2024-07-08 13:41:00.374,0.24793884801421132,2.6139941005295886,13.81360929542177,-0.0009140044158587807,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:41:004.72,0.23,2.613,16.574,17.432,90.6,10.95,8.277,693.29987,1.97,2024-07-08 13:41:00.472,0.2281037512513359,2.6129945592584214,13.839834335007936,-0.0041892010384830805,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:41:004.97,0.21,2.613,16.584,17.443,90.6,10.94,8.277,738.9295,4.66,2024-07-08 13:41:00.497,0.20826865256181049,2.612995027712733,13.84856481462191,-0.00029819027863670143,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:41:005.47,0.21,2.616,16.587,17.446,90.6,10.94,8.277,739.24854,3.3,2024-07-08 13:41:00.547,0.20826865256181049,2.615995020537338,13.85084458818767,0.0022525562545308623,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:41:005.71,0.22,2.617,16.591,17.449,90.5,10.93,8.277,691.22076,3.44,2024-07-08 13:41:00.571,0.21818620214740453,2.6169947799993243,13.853191807824714,-0.00023186051537776102,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:41:006.45,0.23,2.618,16.598,17.457,90.5,10.93,8.276,689.63165,3.09,2024-07-08 13:41:00.645,0.2281037512513359,2.617994536814227,13.859507315733936,-0.0007616577694753109,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:41:007.92,0.25,2.619,16.574,17.428,90.4,10.92,8.278,683.74078,3.69,2024-07-08 13:41:00.792,0.24793884801421132,2.6189940740967512,13.836457300168036,0.0010817081811744097,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:41:008.91,0.21,2.621,16.534,17.383,90.3,10.91,8.28,723.38562,3.8,2024-07-08 13:41:00.891,0.20826865256181049,2.620995037594917,13.800675272732747,0.000331340271085349,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:41:009.40,0.27,2.619,16.529,17.378,90.3,10.91,8.281,680.85272,3.07,2024-07-08 13:41:00.940,0.2677739428504379,2.6189936274070607,13.796774228191566,-0.0,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:41:010.14,0.28,2.62,16.522,17.37,90.2,10.9,8.281,692.57678,2.21,2024-07-08 13:41:01.014,0.27769148954605827,2.619993393289795,13.790391350270966,0.0007030638561259028,-0.23802157731317586,-0.23802157731317586
08-07-2024,13:41:010.87,0.27,2.622,16.504,17.347,90.2,10.9,8.281,666.17255,3.24,2024-07-08 13:41:01.087,0.2677739428504379,2.6219936368372196,13.77207013524594,0.00026979545148201456,-0.23802157731317586,-0.23802157731317586
